ISO3,Country,EGDI,OSI,TII,HCI,Penetration_Pct,Year_Used,p,T_adj_EGDI,Phi_EGDI,T_adj_OSI,Phi_OSI,R_facade,I_egov,Signed_Div
COL,Colombia,0.7793,0.7521,0.8065,0.7793,77.33686322,2023,0.7733686322,0.60268617507346,0.17661382492654004,0.58165054827762,0.17044945172238002,1.2930444271515154,0.054400000000000004,-0.054400000000000004
COM,Comoros,0.2586,0.023,0.3537,0.3992,31.92749977,2023,0.3192749977,0.08256451440522,0.17603548559478,0.0073433249471,0.0156566750529,3.13209617791503,0.3307,-0.3307
AFG,Afghanistan,0.2083,0.1438,0.2167,0.2643,15.92840004,2023,0.1592840004,0.03317885728332,0.17512114271668,0.02290503925752,0.12089496074248,6.278094456999838,0.07289999999999999,-0.07289999999999999
FJI,Fiji,0.6754,0.5343,0.7507,0.7413,74.1160965,2023,0.741160965,0.5005801157609999,0.17481988423900002,0.39600230359949995,0.13829769640050002,1.3492345755149153,0.21640000000000004,-0.21640000000000004
EGY,Egypt,0.6699,0.7002,0.6946,0.615,74.01190186,2023,0.7401190186,0.49580573056014,0.17409426943986003,0.51823133682372,0.18196866317628005,1.351134040429859,0.005600000000000049,0.005600000000000049
MHL,Marshall Islands,0.4823,0.3586,0.3047,0.7836,64.07589722,2023,0.6407589722,0.30903805229206,0.17326194770794,0.22977616743091997,0.12882383256908,1.5606492353381674,0.05389999999999995,0.05389999999999995
LBR,Liberia,0.2513,0.2634,0.1238,0.3669,31.22410011,2023,0.31224100109999997,0.07846616357643,0.17283383642357003,0.08224427968974,0.18115572031026003,3.2026543486508188,0.13960000000000003,0.13960000000000003
LCA,Saint Lucia,0.5255,0.3229,0.6498,0.6037,67.44390106,2023,0.6744390106,0.3544177000703,0.17108229992969998,0.21777635652274002,0.10512364347726001,1.4827137580763186,0.3269,-0.3269
VNM,Viet Nam,0.7709,0.7081,0.878,0.7267,78.08,2023,0.7807999999999999,0.60191872,0.16898128000000007,0.5528844799999999,0.15521552000000002,1.2807377049180328,0.16990000000000005,-0.16990000000000005
PHL,Philippines,0.7621,0.8054,0.7554,0.7256,77.86699677,2023,0.7786699677,0.59342438238417,0.16867561761583003,0.6271407919855799,0.17825920801442002,1.284241131006702,0.050000000000000044,0.050000000000000044
ARM,Armenia,0.8422,0.7922,0.8782,0.8561,79.99663036,2023,0.7999663036,0.67373162089192,0.16846837910808,0.63373330571192,0.15846669428808002,1.250052652842764,0.08599999999999997,-0.08599999999999997
PER,Peru,0.807,0.8377,0.8364,0.7469,79.48484477,2023,0.7948484477,0.6414426972939,0.16555730270610003,0.66584454463829,0.17185545536171004,1.2581014693978876,0.0012999999999999678,0.0012999999999999678
UKR,Ukraine,0.8841,0.9854,0.8428,0.824,81.58059692,2023,0.8158059692,0.72125405736972,0.16284594263027996,0.8038952020496801,0.18150479795031998,1.2257816659280212,0.14260000000000006,0.14260000000000006
BGR,Bulgaria,0.8145,0.7727,0.9171,0.7538,80.38956462,2023,0.8038956462,0.6547730038299,0.15972699617010003,0.6211701658187401,0.15152983418126004,1.2439425499155041,0.14439999999999997,-0.14439999999999997
PRY,Paraguay,0.7251,0.6712,0.7947,0.7093,78.09481878,2023,0.7809481878,0.56626553097378,0.15883446902622,0.52417242365136,0.14702757634864003,1.28049468021315,0.12349999999999994,-0.12349999999999994
CPV,Cabo Verde,0.6238,0.6892,0.6128,0.5694,74.59919739,2023,0.7459919739,0.46534979331882004,0.15845020668117998,0.51413766841188,0.17506233158811998,1.3404969959288726,0.07640000000000002,0.07640000000000002
