Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,08-04-2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Djibouti,DJI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.923621453,,,,,,,,,,,,2.628276212,3.024177421,3.275500222,,
Dominica,DMA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.83741235,,9.006074095,5.940539926,,,9.623349243,8.330018176,5.331808639,16.90506501,1.694410125,3.305330778,27.59466266,2.883282332,,
Denmark,DNK,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.25736249,16.85703411,18.93105121,15.46884093,15.2745652,15.8263351,15.82259116,15.71796053,17.1655002,14.88332424,12.42792228,12.35473019,12.03999674,13.23439255,13.9247982,15.98828923,17.13215758,17.61944985,
Dominican Republic,DOM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66133043,7.136427978,4.853737826,2.34947428,2.385705678,3.200658236,4.454537762,4.305050412,3.966846975,4.421814825,8.356271499,6.398157063,6.347611764,8.727411743,8.480050015,6.018790559,6.0309294,7.688683514,
Algeria,DZA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.203712863,1.041776034,1.176791092,1.167900418,0.541468263,0.343094841,0.569890658,0.328391631,0.233281066,0.489614088,0.960396673,,,,,,,,
East Asia & Pacific (excluding high income),EAP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.79241983,28.14595457,32.64354297,30.92647574,29.12791908,29.76797556,30.49543513,29.26850106,29.99556953,29.96455664,31.70722305,32.16664541,31.72104878,32.60162766,31.17575308,30.1110229,29.43613061,28.01815649,
Early-demographic dividend,EAR,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.63465377,8.657284989,7.687074785,7.885056184,7.730896735,8.108696106,8.578510664,8.603038423,10.32123727,10.42232631,10.99738299,12.71201489,10.97976997,11.4598384,12.5949808,14.17694933,
East Asia & Pacific,EAS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05898422,27.7267429,31.08233674,30.5947328,27.48847056,27.58582054,28.02929555,27.2474484,28.04728314,28.09944516,33.86755403,34.51512211,33.97909013,35.89150582,35.26648983,35.03803897,33.77211139,34.68059315,
Europe & Central Asia (excluding high income),ECA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.52411386,9.157064105,6.960184446,8.592880969,10.67695235,10.37807433,9.459235077,7.209755293,6.392601396,6.076801891,6.964276816,7.648399233,6.385868498,8.30282609,9.236497626,10.67798881,
Europe & Central Asia,ECS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74964544,15.34872263,16.97315233,17.08418312,16.28701433,16.73343514,17.0439681,17.11948617,17.99114429,18.24537818,16.05865974,15.59115389,16.24285154,15.88303917,16.11933138,19.94240759,20.20133787,21.42616861,
