ISO3,Country,M49_Region,M49_Subregion,WB_Region,U,Penetration_Year,Broadband_per100,Broadband_Year,HiTech_Pct,HiTech_Year,I_pen,I_bb,I_ht,EGDI,OSI,TII,p,F_egov,I_egov,I_health,I_education,I_income
CUB,Cuba,Americas,Latin America and the Caribbean,Latin America & Caribbean ,69.5558,2023,2.9712,2023,7.8756,2022,0.6956,0.0574,0.1231,0.4921,0.2298,0.5318,0.6956,0.3044,0.3020,0.8947,0.7535,0.6610
HRV,Croatia,Europe,Southern Europe,Europe & Central Asia,83.2412,2023,28.4710,2023,11.0336,2023,0.8324,0.5503,0.1725,0.8818,0.8735,0.9180,0.8324,0.1676,0.0445,0.9113,0.8435,0.8819
MEX,Mexico,Americas,Latin America and the Caribbean,Latin America & Caribbean ,81.1832,2023,20.7529,2023,17.9939,2023,0.8118,0.4011,0.2813,0.7850,0.7637,0.8310,0.8118,0.1882,0.0673,0.8436,0.7103,0.7937
VCT,Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Latin America & Caribbean ,75.5368,2023,30.4936,2023,4.9344,2023,0.7554,0.5894,0.0771,0.5876,0.3906,0.6768,0.7554,0.2446,0.2862,0.7534,0.8180,0.7470
GEO,Georgia (Country),Asia,Western Asia,Europe & Central Asia,81.8843,2023,29.3086,2023,2.2930,2023,0.8188,0.5665,0.0358,0.7792,0.5652,0.9071,0.8188,0.1812,0.3419,0.7936,0.8880,0.7662
JPN,Japan,Asia,Eastern Asia,East Asia & Pacific,85.0099,2023,38.6312,2023,17.1028,2023,0.8501,0.7466,0.2673,0.9351,0.9427,0.9509,0.8501,0.1499,0.0082,0.9972,0.8516,0.9182
MNG,Mongolia,Asia,Eastern Asia,East Asia & Pacific,83.7432,2023,14.5529,2023,22.5366,2023,0.8374,0.2813,0.3523,0.8457,0.8222,0.9374,0.8374,0.1626,0.1152,0.8103,0.7174,0.7008
ALB,Albania,Europe,Southern Europe,Europe & Central Asia,83.1356,2023,22.5049,2023,0.6823,2023,0.8314,0.4350,0.0107,0.8000,0.8144,0.7750,0.8314,0.1686,0.0394,0.8744,0.7398,0.7598
BRA,Brazil,Americas,Latin America and the Caribbean,Latin America & Caribbean ,84.1506,2023,22.4192,2023,9.8491,2023,0.8415,0.4333,0.1539,0.8403,0.9063,0.8069,0.8415,0.1585,0.0994,0.8219,0.7087,0.7530
GMB,Gambia,Africa,Sub-Saharan Africa,Sub-Saharan Africa ,48.7283,2023,0.5021,2023,2.3423,2023,0.4873,0.0097,0.0366,0.2552,0.0955,0.3877,0.4873,0.5127,0.2922,0.6601,0.3998,0.4591
GRC,Greece,Europe,Southern Europe,Europe & Central Asia,85.0102,2023,43.8540,2023,15.1515,2023,0.8501,0.8476,0.2368,0.8674,0.8145,0.8657,0.8501,0.1499,0.0512,0.9325,0.8803,0.8684
